id_municipio,latitude,longitude,fuso_horario,uf,regiao
5221502,-16.6125,-50.1369,America/Sao_Paulo,GO,Centro-Oeste
5221551,-17.8502,-50.3024,America/Sao_Paulo,GO,Centro-Oeste
5221577,-14.2835,-49.9201,America/Sao_Paulo,GO,Centro-Oeste
5221601,-14.5238,-49.1396,America/Sao_Paulo,GO,Centro-Oeste
5221700,-15.4993,-49.6861,America/Sao_Paulo,GO,Centro-Oeste
5221809,-17.4651,-48.2015,America/Sao_Paulo,GO,Centro-Oeste
5221858,-16.0651,-47.9757,America/Sao_Paulo,GO,Centro-Oeste
5221908,-17.0471,-49.6312,America/Sao_Paulo,GO,Centro-Oeste
5222005,-16.7405,-48.5159,America/Sao_Paulo,GO,Centro-Oeste
5222054,-17.7322,-49.8047,America/Sao_Paulo,GO,Centro-Oeste
5222203,-15.0387,-47.052,America/Sao_Paulo,GO,Centro-Oeste
5222302,-15.4542,-48.8819,America/Sao_Paulo,GO,Centro-Oeste
3100104,-18.4831,-47.3916,America/Sao_Paulo,MG,Sudeste
3100203,-19.1551,-45.4444,America/Sao_Paulo,MG,Sudeste
3100302,-20.2996,-42.4743,America/Sao_Paulo,MG,Sudeste
3100401,-20.359,-43.1439,America/Sao_Paulo,MG,Sudeste
3100500,-19.0671,-42.5419,America/Sao_Paulo,MG,Sudeste
3100609,-17.9914,-42.3806,America/Sao_Paulo,MG,Sudeste
3100708,-20.0576,-48.1069,America/Sao_Paulo,MG,Sudeste
3100807,-20.9439,-45.3915,America/Sao_Paulo,MG,Sudeste
3100906,-17.0802,-40.9384,America/Sao_Paulo,MG,Sudeste
3101003,-15.7431,-41.4571,America/Sao_Paulo,MG,Sudeste
3101102,-19.5007,-41.0746,America/Sao_Paulo,MG,Sudeste
3101201,-21.9736,-44.6042,America/Sao_Paulo,MG,Sudeste
3101300,-22.171,-44.6413,America/Sao_Paulo,MG,Sudeste
3101409,-22.2018,-46.6139,America/Sao_Paulo,MG,Sudeste
3101508,-21.8797,-42.7176,America/Sao_Paulo,MG,Sudeste
3101607,-21.4256,-45.9477,America/Sao_Paulo,MG,Sudeste
3101631,-21.1535,-43.7718,America/Sao_Paulo,MG,Sudeste
3101706,-16.1785,-40.6942,America/Sao_Paulo,MG,Sudeste
3101805,-18.974,-41.97,America/Sao_Paulo,MG,Sudeste
3101904,-20.8631,-46.3878,America/Sao_Paulo,MG,Sudeste
3102001,-21.2488,-46.1387,America/Sao_Paulo,MG,Sudeste
3102050,-20.431,-41.8738,America/Sao_Paulo,MG,Sudeste
3153509,-20.4208,-41.967,America/Sao_Paulo,MG,Sudeste
3102100,-21.0281,-43.4067,America/Sao_Paulo,MG,Sudeste
3102209,-19.4174,-41.7317,America/Sao_Paulo,MG,Sudeste
3102308,-20.1098,-43.0535,America/Sao_Paulo,MG,Sudeste
3102407,-18.7334,-43.3638,America/Sao_Paulo,MG,Sudeste
3102506,-20.5051,-42.8009,America/Sao_Paulo,MG,Sudeste
3102605,-22.0695,-46.5724,America/Sao_Paulo,MG,Sudeste
3102803,-21.7411,-44.3117,America/Sao_Paulo,MG,Sudeste
3102852,-17.7279,-42.2641,America/Sao_Paulo,MG,Sudeste
3102902,-21.321,-43.7451,America/Sao_Paulo,MG,Sudeste
3103009,-19.6491,-42.8732,America/Sao_Paulo,MG,Sudeste
3103108,-21.0192,-42.1109,America/Sao_Paulo,MG,Sudeste
3103207,-19.1955,-44.2493,America/Sao_Paulo,MG,Sudeste
3103306,-21.3446,-43.3736,America/Sao_Paulo,MG,Sudeste
3103405,-16.8523,-42.0637,America/Sao_Paulo,MG,Sudeste
3103504,-18.6456,-48.1934,America/Sao_Paulo,MG,Sudeste
3103603,-21.9102,-44.2555,America/Sao_Paulo,MG,Sudeste
3103702,-20.6686,-42.5178,America/Sao_Paulo,MG,Sudeste
3103751,-18.4357,-49.1847,America/Sao_Paulo,MG,Sudeste
3103801,-19.0268,-46.1484,America/Sao_Paulo,MG,Sudeste
3103900,-19.9405,-45.1671,America/Sao_Paulo,MG,Sudeste
3104007,-19.5902,-46.9438,America/Sao_Paulo,MG,Sudeste
3104106,-21.359,-46.9401,America/Sao_Paulo,MG,Sudeste
3104205,-20.2863,-45.5373,America/Sao_Paulo,MG,Sudeste
3104304,-21.3572,-46.1421,America/Sao_Paulo,MG,Sudeste
3104403,-21.6083,-42.8292,America/Sao_Paulo,MG,Sudeste
3104452,-17.8666,-42.5533,America/Sao_Paulo,MG,Sudeste
3104502,-15.9187,-46.1043,America/Sao_Paulo,MG,Sudeste
3104601,-21.3184,-42.8572,America/Sao_Paulo,MG,Sudeste
3104700,-18.0438,-41.1149,America/Sao_Paulo,MG,Sudeste
3104809,-18.0997,-44.2655,America/Sao_Paulo,MG,Sudeste
3104908,-21.957,-44.8874,America/Sao_Paulo,MG,Sudeste
3105004,-19.2832,-43.9613,America/Sao_Paulo,MG,Sudeste
3105103,-20.0166,-45.9754,America/Sao_Paulo,MG,Sudeste
3105202,-15.8783,-40.5622,America/Sao_Paulo,MG,Sudeste
3105301,-21.7308,-46.3833,America/Sao_Paulo,MG,Sudeste
3105400,-19.9389,-43.4755,America/Sao_Paulo,MG,Sudeste
3105509,-21.2444,-42.2372,America/Sao_Paulo,MG,Sudeste
3105608,-21.2214,-43.7703,America/Sao_Paulo,MG,Sudeste
3105707,-20.2869,-43.0402,America/Sao_Paulo,MG,Sudeste
3105905,-21.1907,-43.972,America/Sao_Paulo,MG,Sudeste
3106002,-19.8302,-43.0922,America/Sao_Paulo,MG,Sudeste
3106101,-21.944,-43.4084,America/Sao_Paulo,MG,Sudeste
3106200,-19.9102,-43.9266,America/Sao_Paulo,MG,Sudeste
3106309,-19.2199,-42.4828,America/Sao_Paulo,MG,Sudeste
3106408,-20.4077,-44.0275,America/Sao_Paulo,MG,Sudeste
3106507,-16.9567,-42.4606,America/Sao_Paulo,MG,Sudeste
